Order ID,Order Date,Customer Name,Region,State,Category,Product,Quantity,Discount,Sales,Profit,Salesperson,Payment Mode,Month,Year,Profit Margin
ORD1013,2025-08-11,Customer 13,North,Delhi,Electronics,Tablet,6,0.1,118800.0,10568.91,Pooja,UPI,Aug,2025,0.08896388888888888
ORD1014,2025-09-17,Customer 14,East,Bihar,Furniture,Office Chair,6,0.1,45900.0,9780.55,Neha,Credit Card,Sep,2025,0.21308387799564268
ORD1015,2025-02-27,Customer 15,East,Odisha,Furniture,Office Chair,5,0.1,38250.0,5854.66,Vikas,Credit Card,Feb,2025,0.1530630065359477
ORD1016,2025-09-30,Customer 16,North,Delhi,Furniture,Office Chair,1,0.15,7225.0,1508.03,Rahul,Cash,Sep,2025,0.20872387543252593
ORD1017,2025-12-20,Customer 17,South,Karnataka,Clothing,Shoes,2,0.2,5600.0,1111.01,Vikas,Cash,Dec,2025,0.19839464285714287
ORD1018,2025-06-23,Customer 18,East,West Bengal,Accessories,Sunglasses,1,0.05,1710.0,185.02,Neha,Net Banking,Jun,2025,0.10819883040935672
ORD1019,2025-01-17,Customer 19,South,Tamil Nadu,Electronics,Laptop,6,0.0,330000.0,35943.63,Priya,Net Banking,Jan,2025,0.1089200909090909
ORD1020,2025-10-20,Customer 20,South,Telangana,Clothing,Shoes,2,0.2,5600.0,517.96,Pooja,Credit Card,Oct,2025,0.09249285714285715
ORD1021,2025-07-01,Customer 21,West,Gujarat,Accessories,Watch,1,0.0,5000.0,910.14,Rohit,Cash,Jul,2025,0.182028
ORD1022,2025-02-25,Customer 22,North,Delhi,Electronics,Laptop,4,0.1,198000.0,40807.94,Neha,Credit Card,Feb,2025,0.20610070707070707
ORD1023,2025-02-08,Customer 23,West,Gujarat,Furniture,Cabinet,2,0.1,17100.0,2541.86,Priya,UPI,Feb,2025,0.148646783625731
ORD1024,2025-04-20,Customer 24,North,Uttar Pradesh,Electronics,Smartphone,2,0.15,47600.0,7261.81,Amit,Credit Card,Apr,2025,0.1525590336134454
ORD1025,2025-12-23,Customer 25,West,Rajasthan,Electronics,Headphones,3,0.15,11475.0,1359.7,Pooja,Credit Card,Dec,2025,0.11849237472766885
ORD1026,2025-02-01,Customer 26,South,Telangana,Clothing,Jeans,1,0.2,2000.0,390.15,Anjali,UPI,Feb,2025,0.195075
ORD1027,2025-04-06,Customer 27,North,Delhi,Accessories,Watch,1,0.2,4000.0,334.48,Priya,Credit Card,Apr,2025,0.08362
ORD1028,2025-02-11,Customer 28,West,Gujarat,Electronics,Smartphone,5,0.2,112000.0,8596.68,Anjali,Debit Card,Feb,2025,0.07675607142857144
ORD1029,2025-11-27,Customer 29,South,Tamil Nadu,Clothing,Jeans,3,0.15,6375.0,588.09,Pooja,Debit Card,Nov,2025,0.09224941176470589
ORD1030,2025-02-07,Customer 30,North,Haryana,Electronics,Headphones,5,0.2,18000.0,4308.06,Neha,Net Banking,Feb,2025,0.2393366666666667
ORD1031,2025-03-22,Customer 31,East,Odisha,Furniture,Bookshelf,1,0.05,6650.0,883.25,Vikas,Net Banking,Mar,2025,0.13281954887218045
ORD1032,2025-02-24,Customer 32,North,Haryana,Clothing,Shirt,2,0.1,3240.0,290.38,Rahul,Debit Card,Feb,2025,0.08962345679012346
ORD1033,2025-05-09,Customer 33,East,West Bengal,Furniture,Bookshelf,2,0.1,12600.0,1964.59,Priya,Cash,May,2025,0.15591984126984126
ORD1034,2025-05-15,Customer 34,East,West Bengal,Electronics,Laptop,3,0.05,156750.0,27949.98,Pooja,Net Banking,May,2025,0.17830928229665072
ORD1035,2025-07-09,Customer 35,West,Rajasthan,Electronics,Laptop,1,0.05,52250.0,8503.71,Rahul,Cash,Jul,2025,0.16275043062200956
ORD1036,2025-04-18,Customer 36,South,Telangana,Electronics,Tablet,3,0.0,66000.0,14705.93,Neha,UPI,Apr,2025,0.22281712121212122
ORD1037,2025-04-01,Customer 37,East,Odisha,Accessories,Watch,2,0.05,9500.0,2241.57,Amit,Credit Card,Apr,2025,0.23595473684210527
ORD1038,2025-02-25,Customer 38,East,Odisha,Accessories,Watch,3,0.05,14250.0,2904.91,Amit,Cash,Feb,2025,0.20385333333333333
ORD1039,2025-04-27,Customer 39,South,Karnataka,Furniture,Cabinet,3,0.1,25650.0,5373.45,Amit,Credit Card,Apr,2025,0.20949122807017542
ORD1040,2025-09-18,Customer 40,West,Gujarat,Clothing,Jacket,1,0.1,3780.0,490.25,Anjali,UPI,Sep,2025,0.1296957671957672
ORD1041,2025-11-02,Customer 41,North,Uttar Pradesh,Clothing,Jeans,5,0.1,11250.0,860.67,Anjali,Debit Card,Nov,2025,0.076504
ORD1042,2025-12-29,Customer 42,West,Gujarat,Electronics,Headphones,5,0.05,21375.0,2421.85,Amit,Net Banking,Dec,2025,0.11330292397660818
ORD1043,2025-12-06,Customer 43,South,Karnataka,Clothing,Shoes,1,0.1,3150.0,554.2,Vikas,Net Banking,Dec,2025,0.17593650793650795
ORD1044,2025-04-09,Customer 44,East,Odisha,Accessories,Wallet,4,0.1,4320.0,709.56,Rohit,Credit Card,Apr,2025,0.16424999999999998
ORD1045,2025-10-24,Customer 45,East,Bihar,Accessories,Backpack,3,0.1,5940.0,628.04,Anjali,Cash,Oct,2025,0.10573063973063973
ORD1046,2025-03-28,Customer 46,West,Rajasthan,Accessories,Watch,5,0.15,21250.0,4354.87,Priya,Debit Card,Mar,2025,0.20493505882352941
ORD1047,2025-04-12,Customer 47,East,West Bengal,Electronics,Smartphone,6,0.1,151200.0,16358.16,Amit,UPI,Apr,2025,0.10818888888888889
ORD1048,2025-10-22,Customer 48,South,Karnataka,Accessories,Backpack,4,0.15,7480.0,1650.41,Rohit,Cash,Oct,2025,0.22064304812834226
ORD1049,2025-02-24,Customer 49,West,Gujarat,Furniture,Desk,6,0.0,72000.0,15966.16,Neha,Credit Card,Feb,2025,0.2217522222222222
ORD1050,2025-08-26,Customer 50,West,Rajasthan,Electronics,Smartphone,1,0.15,23800.0,2205.49,Anjali,Cash,Aug,2025,0.09266764705882352
ORD1051,2025-05-07,Customer 51,West,Rajasthan,Accessories,Watch,6,0.15,25500.0,3736.05,Vikas,Net Banking,May,2025,0.14651176470588237
ORD1052,2025-05-01,Customer 52,West,Gujarat,Furniture,Bookshelf,4,0.0,28000.0,5356.47,Anjali,Debit Card,May,2025,0.19130250000000001
ORD1053,2025-12-28,Customer 53,North,Delhi,Furniture,Desk,2,0.15,20400.0,3834.62,Priya,Cash,Dec,2025,0.18797156862745099
ORD1054,2025-08-04,Customer 54,West,Gujarat,Clothing,Shoes,4,0.0,14000.0,1472.27,Amit,Net Banking,Aug,2025,0.10516214285714286
ORD1055,2025-08-03,Customer 55,West,Rajasthan,Accessories,Backpack,3,0.1,5940.0,1176.66,Neha,Cash,Aug,2025,0.1980909090909091
ORD1056,2025-12-09,Customer 56,South,Telangana,Clothing,Shoes,4,0.0,14000.0,1905.48,Rohit,Credit Card,Dec,2025,0.13610571428571427
ORD1057,2025-01-14,Customer 57,West,Maharashtra,Furniture,Office Chair,4,0.2,27200.0,4513.75,Rohit,Credit Card,Jan,2025,0.1659466911764706
ORD1058,2025-08-21,Customer 58,West,Gujarat,Furniture,Office Chair,3,0.15,21675.0,2723.46,Anjali,Cash,Aug,2025,0.12564982698961938
ORD1059,2025-10-04,Customer 59,East,West Bengal,Accessories,Wallet,1,0.15,1020.0,74.76,Anjali,Credit Card,Oct,2025,0.07329411764705883
ORD1060,2025-11-15,Customer 60,North,Delhi,Electronics,Laptop,2,0.05,104500.0,22223.9,Neha,Credit Card,Nov,2025,0.21266889952153112
ORD1061,2025-03-27,Customer 61,West,Rajasthan,Electronics,Smartphone,4,0.1,100800.0,20197.57,Priya,Credit Card,Mar,2025,0.20037271825396824
ORD1062,2025-07-12,Customer 62,East,Odisha,Electronics,Laptop,3,0.2,132000.0,24439.67,Neha,UPI,Jul,2025,0.18514901515151513
ORD1063,2025-10-17,Customer 63,South,Karnataka,Electronics,Tablet,6,0.2,105600.0,21852.84,Anjali,Net Banking,Oct,2025,0.20693977272727274
ORD1064,2025-08-04,Customer 64,West,Gujarat,Clothing,Shirt,5,0.1,8100.0,584.42,Priya,Cash,Aug,2025,0.07215061728395061
ORD1065,2025-11-30,Customer 65,East,Odisha,Accessories,Watch,4,0.05,19000.0,3700.16,Pooja,Cash,Nov,2025,0.19474526315789473
ORD1066,2025-08-19,Customer 66,West,Maharashtra,Clothing,Jacket,2,0.0,8400.0,986.31,Pooja,Net Banking,Aug,2025,0.11741785714285714
ORD1067,2025-04-19,Customer 67,West,Gujarat,Clothing,Shirt,4,0.1,6480.0,653.91,Vikas,Debit Card,Apr,2025,0.10091203703703704
ORD1068,2025-07-28,Customer 68,East,Odisha,Clothing,Shirt,5,0.05,8550.0,722.94,Neha,Cash,Jul,2025,0.08455438596491228
ORD1069,2025-12-21,Customer 69,West,Maharashtra,Accessories,Backpack,1,0.1,1980.0,213.19,Vikas,Net Banking,Dec,2025,0.10767171717171717
ORD1070,2025-12-26,Customer 70,East,Odisha,Accessories,Wallet,4,0.2,3840.0,484.74,Vikas,Debit Card,Dec,2025,0.126234375
ORD1071,2025-10-02,Customer 71,East,Bihar,Furniture,Office Chair,6,0.05,48450.0,5990.51,Rahul,Credit Card,Oct,2025,0.12364313725490196
ORD1072,2025-09-26,Customer 72,South,Telangana,Accessories,Wallet,6,0.2,5760.0,1359.49,Vikas,UPI,Sep,2025,0.23602256944444444
ORD1073,2025-12-29,Customer 73,South,Telangana,Clothing,Jeans,3,0.05,7125.0,864.87,Rahul,Debit Card,Dec,2025,0.12138526315789473
ORD1074,2025-09-09,Customer 74,North,Delhi,Electronics,Tablet,6,0.05,125400.0,22376.11,Amit,Net Banking,Sep,2025,0.17843787878787878
ORD1075,2025-01-27,Customer 75,East,Odisha,Accessories,Sunglasses,4,0.1,6480.0,656.7,Pooja,UPI,Jan,2025,0.1013425925925926
ORD1076,2025-01-28,Customer 76,North,Delhi,Accessories,Sunglasses,1,0.2,1440.0,254.89,Rahul,Net Banking,Jan,2025,0.17700694444444443
ORD1077,2025-11-07,Customer 77,East,Bihar,Electronics,Smartphone,1,0.2,22400.0,4479.0,Neha,Net Banking,Nov,2025,0.19995535714285714
ORD1078,2025-06-06,Customer 78,West,Rajasthan,Accessories,Sunglasses,3,0.2,4320.0,1029.48,Amit,Net Banking,Jun,2025,0.23830555555555555
ORD1079,2025-03-30,Customer 79,North,Haryana,Furniture,Desk,3,0.0,36000.0,3481.19,Priya,Credit Card,Mar,2025,0.09669972222222223
ORD1080,2025-01-17,Customer 80,North,Delhi,Accessories,Sunglasses,6,0.2,8640.0,1295.01,Vikas,Debit Card,Jan,2025,0.14988541666666666
ORD1081,2025-04-12,Customer 81,West,Gujarat,Electronics,Smartphone,3,0.2,67200.0,12257.36,Priya,Net Banking,Apr,2025,0.1824011904761905
ORD1082,2025-06-07,Customer 82,South,Telangana,Furniture,Bookshelf,2,0.0,14000.0,1121.94,Vikas,Cash,Jun,2025,0.08013857142857143
ORD1083,2025-09-14,Customer 83,North,Haryana,Accessories,Wallet,6,0.15,6120.0,1409.16,Pooja,Cash,Sep,2025,0.23025490196078433
ORD1084,2025-01-14,Customer 84,North,Delhi,Electronics,Headphones,6,0.1,24300.0,4194.94,Neha,Net Banking,Jan,2025,0.1726312757201646
ORD1085,2025-08-15,Customer 85,North,Uttar Pradesh,Clothing,Shirt,2,0.15,3060.0,484.16,Rahul,Net Banking,Aug,2025,0.15822222222222224
ORD1086,2025-06-14,Customer 86,West,Rajasthan,Accessories,Backpack,4,0.1,7920.0,1104.2,Priya,Credit Card,Jun,2025,0.13941919191919191
ORD1087,2025-10-09,Customer 87,East,West Bengal,Accessories,Sunglasses,3,0.15,4590.0,956.13,Pooja,UPI,Oct,2025,0.20830718954248367
ORD1088,2025-01-01,Customer 88,East,Bihar,Clothing,Jacket,1,0.15,3570.0,774.81,Pooja,Cash,Jan,2025,0.21703361344537814
ORD1089,2025-01-27,Customer 89,North,Delhi,Furniture,Bookshelf,5,0.15,29750.0,5245.5,Vikas,Net Banking,Jan,2025,0.17631932773109243
ORD1090,2025-11-19,Customer 90,South,Telangana,Clothing,Shoes,6,0.15,17850.0,1617.97,Neha,Credit Card,Nov,2025,0.09064257703081233
ORD1091,2025-02-28,Customer 91,East,Odisha,Electronics,Headphones,1,0.05,4275.0,1020.37,Priya,Credit Card,Feb,2025,0.23868304093567252
ORD1092,2025-05-05,Customer 92,West,Gujarat,Clothing,Jacket,4,0.15,14280.0,3379.24,Rahul,Cash,May,2025,0.23664145658263303
ORD1093,2025-09-17,Customer 93,South,Tamil Nadu,Furniture,Office Chair,3,0.15,21675.0,2769.61,Amit,Debit Card,Sep,2025,0.12777900807381776
ORD1094,2025-06-20,Customer 94,East,Bihar,Accessories,Watch,4,0.2,16000.0,2437.41,Rohit,Cash,Jun,2025,0.152338125
ORD1095,2025-07-30,Customer 95,East,West Bengal,Furniture,Desk,5,0.15,51000.0,5594.99,Anjali,Cash,Jul,2025,0.1097056862745098
ORD1096,2025-10-30,Customer 96,West,Gujarat,Accessories,Watch,4,0.0,20000.0,1829.24,Priya,Cash,Oct,2025,0.091462
ORD1097,2025-12-02,Customer 97,North,Delhi,Accessories,Backpack,6,0.05,12540.0,1751.79,Priya,Cash,Dec,2025,0.13969617224880382
ORD1098,2025-12-12,Customer 98,East,Bihar,Clothing,Shoes,6,0.0,21000.0,4510.8,Rohit,Debit Card,Dec,2025,0.21480000000000002
ORD1099,2025-02-16,Customer 99,West,Gujarat,Electronics,Laptop,2,0.1,99000.0,23716.68,Priya,UPI,Feb,2025,0.23956242424242424
ORD1100,2025-01-29,Customer 100,West,Gujarat,Furniture,Bookshelf,1,0.0,7000.0,876.01,Anjali,Debit Card,Jan,2025,0.1251442857142857
ORD1101,2025-04-03,Customer 101,West,Maharashtra,Furniture,Desk,5,0.15,51000.0,8476.6,Rahul,UPI,Apr,2025,0.1662078431372549
ORD1102,2025-11-23,Customer 102,West,Gujarat,Furniture,Cabinet,5,0.05,45125.0,4939.93,Pooja,Debit Card,Nov,2025,0.10947213296398893
ORD1103,2025-08-15,Customer 103,North,Uttar Pradesh,Accessories,Wallet,6,0.2,5760.0,557.89,Vikas,Cash,Aug,2025,0.09685590277777778
ORD1104,2025-02-24,Customer 104,East,West Bengal,Accessories,Wallet,2,0.15,2040.0,438.74,Rohit,Net Banking,Feb,2025,0.2150686274509804
ORD1105,2025-10-17,Customer 105,East,Bihar,Clothing,Jacket,1,0.15,3570.0,416.48,Amit,Net Banking,Oct,2025,0.11666106442577032
ORD1106,2025-04-08,Customer 106,West,Rajasthan,Clothing,Jeans,5,0.1,11250.0,1206.35,Vikas,Credit Card,Apr,2025,0.1072311111111111
ORD1107,2025-03-09,Customer 107,North,Delhi,Electronics,Tablet,4,0.0,88000.0,14830.42,Vikas,Debit Card,Mar,2025,0.1685275
ORD1108,2025-07-07,Customer 108,West,Rajasthan,Furniture,Desk,2,0.2,19200.0,4204.77,Vikas,Credit Card,Jul,2025,0.21899843750000003
ORD1109,2025-08-28,Customer 109,East,West Bengal,Accessories,Wallet,6,0.1,6480.0,1339.54,Rahul,Credit Card,Aug,2025,0.20671913580246912
ORD1110,2025-03-05,Customer 110,West,Gujarat,Clothing,Shirt,4,0.0,7200.0,827.7,Anjali,Debit Card,Mar,2025,0.11495833333333334
ORD1111,2025-11-14,Customer 111,West,Rajasthan,Clothing,Shirt,6,0.05,10260.0,1540.55,Anjali,Net Banking,Nov,2025,0.15015107212475634
ORD1112,2025-03-01,Customer 112,South,Karnataka,Electronics,Headphones,6,0.1,24300.0,4383.01,Amit,UPI,Mar,2025,0.18037078189300412
ORD1113,2025-03-11,Customer 113,East,Odisha,Accessories,Backpack,1,0.05,2090.0,461.54,Pooja,Debit Card,Mar,2025,0.22083253588516746
ORD1114,2025-11-12,Customer 114,West,Gujarat,Furniture,Cabinet,6,0.0,57000.0,12068.49,Vikas,UPI,Nov,2025,0.21172789473684211
ORD1115,2025-02-20,Customer 115,East,Bihar,Furniture,Cabinet,4,0.05,36100.0,7776.9,Anjali,Net Banking,Feb,2025,0.21542659279778392
ORD1116,2025-08-21,Customer 116,East,West Bengal,Electronics,Headphones,3,0.05,12825.0,3008.68,Neha,Net Banking,Aug,2025,0.23459493177387913
ORD1117,2025-04-16,Customer 117,North,Delhi,Electronics,Tablet,2,0.05,41800.0,8518.27,Neha,Net Banking,Apr,2025,0.20378636363636365
ORD1118,2025-03-16,Customer 118,South,Karnataka,Furniture,Bookshelf,2,0.2,11200.0,789.4,Vikas,Credit Card,Mar,2025,0.07048214285714285
ORD1119,2025-05-02,Customer 119,North,Haryana,Electronics,Smartphone,1,0.1,25200.0,5148.29,Anjali,UPI,May,2025,0.2042972222222222
ORD1120,2025-02-02,Customer 120,South,Tamil Nadu,Clothing,Shirt,2,0.15,3060.0,487.87,Pooja,Debit Card,Feb,2025,0.15943464052287581
ORD1121,2025-12-04,Customer 121,North,Haryana,Accessories,Watch,5,0.0,25000.0,4840.78,Vikas,Cash,Dec,2025,0.1936312
ORD1122,2025-09-09,Customer 122,North,Haryana,Electronics,Headphones,4,0.15,15300.0,2855.54,Pooja,UPI,Sep,2025,0.18663660130718954
ORD1123,2025-11-21,Customer 123,North,Haryana,Clothing,Jeans,1,0.05,2375.0,277.29,Anjali,Cash,Nov,2025,0.11675368421052633
ORD1124,2025-11-30,Customer 124,East,Bihar,Accessories,Sunglasses,1,0.0,1800.0,386.95,Neha,Cash,Nov,2025,0.2149722222222222
ORD1125,2025-02-18,Customer 125,West,Gujarat,Furniture,Cabinet,3,0.15,24225.0,3337.82,Rohit,Debit Card,Feb,2025,0.1377841073271414
ORD1126,2025-02-13,Customer 126,East,West Bengal,Clothing,Jeans,6,0.15,12750.0,1038.01,Rohit,UPI,Feb,2025,0.08141254901960784
ORD1127,2025-12-10,Customer 127,East,West Bengal,Furniture,Office Chair,5,0.2,34000.0,5626.53,Rohit,Debit Card,Dec,2025,0.16548617647058822
ORD1128,2025-10-23,Customer 128,West,Rajasthan,Electronics,Tablet,5,0.1,99000.0,12848.21,Neha,Credit Card,Oct,2025,0.12977989898989897
ORD1129,2025-05-23,Customer 129,West,Rajasthan,Furniture,Office Chair,3,0.2,20400.0,2702.7,Neha,Cash,May,2025,0.13248529411764706
ORD1130,2025-06-08,Customer 130,North,Uttar Pradesh,Clothing,Shirt,2,0.1,3240.0,613.85,Anjali,UPI,Jun,2025,0.1894598765432099
ORD1131,2025-01-16,Customer 131,South,Karnataka,Furniture,Cabinet,1,0.05,9025.0,1768.58,Neha,Cash,Jan,2025,0.1959645429362881
ORD1132,2025-06-16,Customer 132,West,Rajasthan,Accessories,Wallet,2,0.1,2160.0,265.63,Priya,UPI,Jun,2025,0.12297685185185185
ORD1133,2025-12-05,Customer 133,South,Tamil Nadu,Furniture,Office Chair,6,0.0,51000.0,5929.13,Pooja,Net Banking,Dec,2025,0.11625745098039215
ORD1134,2025-08-09,Customer 134,West,Maharashtra,Accessories,Wallet,2,0.2,1920.0,171.55,Vikas,Net Banking,Aug,2025,0.08934895833333334
ORD1135,2025-01-29,Customer 135,West,Maharashtra,Clothing,Shirt,2,0.15,3060.0,726.31,Neha,Debit Card,Jan,2025,0.2373562091503268
ORD1136,2025-09-12,Customer 136,South,Telangana,Furniture,Bookshelf,3,0.1,18900.0,1708.51,Rohit,Credit Card,Sep,2025,0.09039735449735449
ORD1137,2025-07-01,Customer 137,South,Karnataka,Accessories,Watch,5,0.2,20000.0,4233.4,Rohit,UPI,Jul,2025,0.21166999999999997
ORD1138,2025-10-21,Customer 138,West,Gujarat,Electronics,Headphones,1,0.1,4050.0,679.91,Rohit,Debit Card,Oct,2025,0.167879012345679
ORD1139,2025-11-13,Customer 139,North,Uttar Pradesh,Accessories,Backpack,3,0.05,6270.0,1293.03,Anjali,UPI,Nov,2025,0.20622488038277512
ORD1140,2025-02-10,Customer 140,West,Gujarat,Electronics,Smartphone,4,0.2,89600.0,12371.65,Vikas,Debit Card,Feb,2025,0.13807645089285714
ORD1141,2025-09-29,Customer 141,South,Telangana,Clothing,Jeans,1,0.2,2000.0,355.3,Neha,Debit Card,Sep,2025,0.17765
ORD1142,2025-03-30,Customer 142,East,Bihar,Furniture,Desk,1,0.05,11400.0,1294.07,Rahul,UPI,Mar,2025,0.11351491228070175
ORD1143,2025-10-17,Customer 143,South,Telangana,Accessories,Sunglasses,5,0.2,7200.0,1053.46,Anjali,Debit Card,Oct,2025,0.14631388888888888
ORD1144,2025-05-21,Customer 144,South,Telangana,Accessories,Backpack,4,0.15,7480.0,1326.47,Amit,Debit Card,May,2025,0.1773355614973262
ORD1145,2025-05-27,Customer 145,North,Delhi,Clothing,Shoes,4,0.0,14000.0,1115.4,Priya,Net Banking,May,2025,0.07967142857142857
ORD1146,2025-06-14,Customer 146,West,Rajasthan,Accessories,Backpack,4,0.2,7040.0,1272.92,Pooja,Net Banking,Jun,2025,0.18081250000000001
ORD1147,2025-02-13,Customer 147,South,Telangana,Electronics,Headphones,1,0.1,4050.0,959.87,Rahul,UPI,Feb,2025,0.23700493827160493
ORD1148,2025-07-06,Customer 148,South,Tamil Nadu,Accessories,Sunglasses,5,0.2,7200.0,1250.4,Vikas,Cash,Jul,2025,0.1736666666666667
ORD1149,2025-02-18,Customer 149,West,Rajasthan,Clothing,Shirt,6,0.1,9720.0,789.31,Rohit,Debit Card,Feb,2025,0.08120473251028806
ORD1150,2025-06-29,Customer 150,East,Odisha,Furniture,Bookshelf,1,0.2,5600.0,1023.76,Rohit,Credit Card,Jun,2025,0.1828142857142857
ORD1151,2025-12-10,Customer 151,North,Haryana,Clothing,Shoes,6,0.1,18900.0,3935.76,Priya,Cash,Dec,2025,0.20824126984126987
ORD1152,2025-06-24,Customer 152,East,Odisha,Electronics,Tablet,3,0.05,62700.0,14527.51,Neha,Credit Card,Jun,2025,0.23169872408293463
ORD1153,2025-10-04,Customer 153,South,Telangana,Furniture,Office Chair,3,0.0,25500.0,3985.83,Amit,Debit Card,Oct,2025,0.1563070588235294
ORD1154,2025-11-16,Customer 154,South,Karnataka,Accessories,Watch,2,0.05,9500.0,2007.62,Pooja,UPI,Nov,2025,0.21132842105263155
ORD1155,2025-08-18,Customer 155,West,Maharashtra,Clothing,Jeans,4,0.2,8000.0,947.5,Neha,Debit Card,Aug,2025,0.1184375
ORD1156,2025-08-25,Customer 156,West,Gujarat,Furniture,Bookshelf,6,0.2,33600.0,7975.12,Rohit,Net Banking,Aug,2025,0.2373547619047619
ORD1157,2025-01-27,Customer 157,West,Rajasthan,Furniture,Desk,5,0.05,57000.0,12449.39,Pooja,Debit Card,Jan,2025,0.21841035087719296
ORD1158,2025-09-20,Customer 158,North,Delhi,Electronics,Tablet,1,0.05,20900.0,2432.23,Rohit,UPI,Sep,2025,0.11637464114832535
ORD1159,2025-09-15,Customer 159,South,Tamil Nadu,Accessories,Wallet,1,0.15,1020.0,80.63,Neha,Cash,Sep,2025,0.07904901960784314
ORD1160,2025-11-29,Customer 160,North,Uttar Pradesh,Clothing,Jeans,1,0.1,2250.0,513.54,Rahul,Credit Card,Nov,2025,0.22823999999999997
ORD1161,2025-08-29,Customer 161,North,Uttar Pradesh,Clothing,Shoes,6,0.05,19950.0,3970.11,Amit,UPI,Aug,2025,0.199003007518797
ORD1162,2025-11-08,Customer 162,North,Haryana,Clothing,Jeans,2,0.2,4000.0,919.35,Rohit,UPI,Nov,2025,0.2298375
ORD1163,2025-11-24,Customer 163,East,Bihar,Furniture,Bookshelf,1,0.0,7000.0,773.74,Pooja,UPI,Nov,2025,0.11053428571428571
ORD1164,2025-03-15,Customer 164,North,Uttar Pradesh,Accessories,Backpack,6,0.2,10560.0,1771.53,Rohit,UPI,Mar,2025,0.16775852272727274
ORD1165,2025-07-04,Customer 165,East,West Bengal,Furniture,Cabinet,2,0.0,19000.0,3020.86,Amit,Cash,Jul,2025,0.15899263157894739
ORD1166,2025-07-02,Customer 166,West,Maharashtra,Electronics,Headphones,3,0.1,12150.0,2394.08,Anjali,Credit Card,Jul,2025,0.19704362139917694
ORD1167,2025-11-26,Customer 167,North,Delhi,Clothing,Jeans,1,0.1,2250.0,366.35,Pooja,Cash,Nov,2025,0.16282222222222223
ORD1168,2025-04-14,Customer 168,South,Karnataka,Furniture,Office Chair,6,0.15,43350.0,3307.05,Neha,UPI,Apr,2025,0.07628719723183391
ORD1169,2025-11-28,Customer 169,East,West Bengal,Clothing,Shoes,5,0.15,14875.0,1681.82,Vikas,Debit Card,Nov,2025,0.1130635294117647
ORD1170,2025-07-24,Customer 170,North,Haryana,Clothing,Jacket,1,0.1,3780.0,545.38,Pooja,Cash,Jul,2025,0.1442804232804233
ORD1171,2025-09-23,Customer 171,East,Odisha,Furniture,Cabinet,6,0.15,48450.0,6417.15,Priya,Cash,Sep,2025,0.1324489164086687
ORD1172,2025-02-10,Customer 172,North,Uttar Pradesh,Accessories,Watch,5,0.1,22500.0,2803.63,Vikas,Debit Card,Feb,2025,0.12460577777777779
ORD1173,2025-01-22,Customer 173,West,Rajasthan,Accessories,Watch,6,0.15,25500.0,3308.96,Anjali,Net Banking,Jan,2025,0.12976313725490196
ORD1174,2025-12-14,Customer 174,West,Maharashtra,Clothing,Shirt,1,0.15,1530.0,201.6,Amit,Credit Card,Dec,2025,0.13176470588235295
ORD1175,2025-07-07,Customer 175,West,Gujarat,Electronics,Smartphone,1,0.05,26600.0,5382.45,Rohit,Net Banking,Jul,2025,0.20234774436090225
ORD1176,2025-02-09,Customer 176,North,Haryana,Furniture,Cabinet,3,0.1,25650.0,3731.3,Rahul,Net Banking,Feb,2025,0.14546978557504875
